ID,Nombre,Raza,Criador,Sexo,Color,Fecha de Nacimiento,ID_Madre,ID_Padre,Nombre Madre,Nombre Padre,Abuelo Paterno,Abuela Paterna,Abuelo Materno,Abuela Materna
1102-7,LECHERA DE TOLEDO,GYR PURO,WALTER HABIB,HEMBRA,ROJO Y BLANCO,11/28/17,03--2,500-0,SAMANTA DE CANAAN,CARTAGO 500-0,ABUELO DESCONOCIDO,ABUELA DESCONOCIDA,EMPEDRADO PITUFO 642-5(PITUFO),ABUELA DESCONOCIDA
1103-5,BALOTICO DE TOLEDO,GYR PURO,WALTER HABIB,HEMBRA,ROJO,11/14/16,301-6,642-5,ARAUCANIA BALOTO,EL EMPEDRADO PITUFO,CA PALADINO,SEMOLA DE BRASILIA,BENFEITOR RAPOSO DA CAL,MANTEQUEIRA DE BRAS
1110-99,ORACION DE TOLEDO,GYR PURO,WALTER HABIB,HEMBRA,ROJO,11/9/19,800-4,219-4,SABRINA DE TOLEDO,GC 219-4 EMBU,EMBU DOS POCOES,GC 782-4 METEORO,GVG CELESTE 711-5 (PODEROSO),ARAUCANIA 301-6 BENFEITOR
1115-04,OFELIA DE TOLEDO,GYR PURO,WALTER HABIB,HEMBRA,ROJO,11/15/20,952-7,229-4,VOLADORA DE TOLEDO,ALVARO DE SANTA RITA,VAIDOSO DA SILVANIA,GC MERIDA DE NVO. ORIENTE(QUINZITO),GC 219-4 EMBU,ALTIVA DE TOLEDO 208-4
1120-14,VAINILLA DE TOLEDO,GYR PURO,WALTER HABIB,HEMBRA,ROJO Y BLANCO,11/8/21,806-5,229-4,MIRIAM DE CANAAN,ALVARO DE SANTA RITA,VAIDOSO DA SILVANIA,GC MERIDA DE NVO. ORIENTE(QUINZITO),GVG CELESTE 711-5 (PODEROSO),ARAUCANIA 301-6 BENFEITOR
1201-3R,RAQUEL DE TOLEDO,GYR PURO,WALTER HABIB,HEMBRA,ROJO Y BLANCO,12/1/23,06--40,625-39,MAGO VIENA T.E,ANTONELO RADAR  T.E,RADAR DOS POCOES,CTELCA JABATANA GURI FIV,JAGUAR TE DO GAVIAO,TASMANIA KAMILA 051/5 (KALIKA)
1212-12,CHAPOLA DE TOLEDO,BRAHAMAN PURO,WALTER HABIB,HEMBRA,ROJO,12/30/21,223-18,476-28,CNA MISS PAOLA T.E,LUSITANIA,513/29 MAXMILLION,1242/N2 LUSITANIA TORGSON,LUSITANIA MR.MILLONARIO 1562/14,CNA MISS MARIA JOSE T.E 028/60
111-4R,RIVELINO DE TOLEDO,GYR PURO,WALTER HABIB,MACHO,ROJO,1/21/24,440-09,625-39,DALILA DE TOLEDO,ANTONELO RADAR  T.E,RADAR DOS POCOES,CTELCA JABATANA GURI FIV,GC 219-4 EMBU,RON BLANCO DE TOLEDO 207-4
112-4S,SALSAO DE TOLEDO,GYR PURO,WALTER HABIB,MACHO,ROJO,1/23/24,410-09,207-6,LETEIRA DE TOLEDO,RANCHO LR SEÑOR SANSAO,CA SANSAO,HDV CAMILA TABU TATI T.E,GC 219-4 EMBU,GURI DE TOLEDO 802-5
320-4R,RIVALDO DE TOLEDO,GYR PURO,WALTER HABIB,MACHO,ROJO,3/15/24,903-6,625-39,ARAUQUITA DE TOLEDO,ANTONELO RADAR  T.E,RADAR DOS POCOES,CTELCA JABATANA GURI FIV,JERIPOT DE SANTA RITA,SOFIA DE TOLEDO 11-3
560-3E,EVANO DE TOLEDO,GYR PURO,WALTER HABIB,MACHO,ROJO,5/1/23,803-95,033-4,MATUMBA DE TOLEDO,ZARAGOZA T.E,EXPOENTE DE BRASILIA,HDV RADAR REBECA,CARTAGO 500-0,MATUMBA DE CANAAN 825-5 (EVEREST)
801-3R,SARCO DE TOLEDO,GYR PURO,WALTER HABIB,MACHO,ROJO Y BLANCO,8/1/23,209-4,207-6,GIRO DE TOLEDO,RANCHO LR SEÑOR SANSAO,CA SANSAO,HDV CAMILA TABU TATI T.E,GVG CELESTE 711-5 (PODEROSO),SN CANAAN 702-6
901-3S,SOBERANO DE TOLEDO,GYR PURO,WALTER HABIB,MACHO,ROJO Y BLANCO,9/9/23,08--50,8554,MAGO LISBOA I.A,SOBERANO DE BRASILIA,CA SANSAO,SOJA DE BRASILIA,LEXUS RIB GRANDE (MODELO X UVEDALIA),EL TESORO ESMERALDA (VAIDOSO X PODEROSO)
901-4D,DANDI DE TOLEDO,GYR PURO,WALTER HABIB,MACHO,ROJO,9/3/24,703-9,9225,ZARAGOSA DE TOLEDO,DUKE DP,JAGUAR TE DO GAVIAO,PEROLA FIV DP (RADAR X BIBLIOTECA),GC 219-4 EMBU,OREJA DE CANAAN 13-8
902-3N,NEMECIO DE TOLEDO,GYR PURO,WALTER HABIB,MACHO,ROJO Y BLANCO,9/12/23,1102-7,7660,LECHERA DE TOLEDO,NEYMAR DE BRASILIA,CA SANSAO,FIGA FIV DE BRASILIA,CARTAGO 500-0,SAMANTA DE TOLEDO 03-2(PALADINO X EVEREST)
903-3N,NEBRASKA DE TOLEDO,GYR PURO,WALTER HABIB,MACHO,ROJO Y BLANCO,9/18/23,206-4,7660,CARIBEÑA DE CANAAN,NEYMAR DE BRASILIA,CA SANSAO,FIGA FIV DE BRASILIA,GVG PITUFO 642-5 (PALADINO),ARAUCANIA 301-6 BENFEITOR
903-4T,TARSO DE TOLEDO,GYR PURO,WALTER HABIB,MACHO,ROJO,9/26/24,1115-04,6557,OFELIA DE TOLEDO,TABU DA CAL,RADAR DOS POCOES,JULIANA CAL (EVEREST),ALVARO DE SANTA RITA,VOLADORA DE TOLEDO 952-7
907-3N,NAVAJO DE TOLEDO,GYR PURO,WALTER HABIB,MACHO,ROJO Y BLANCO,9/29/23,560-09,7660,GUARUMERITA 560-09,NEYMAR DE BRASILIA,CA SANSAO,FIGA FIV DE BRASILIA,GC 219-4 EMBU,GUARUMERA DE CANAAN 201-4
1003-3T,TABU DE TOLEDO,GYR PURO,WALTER HABIB,MACHO,ROJO,10/11/23,1103-5,6557,BALOTICO DE TOLEDO,TABU DA CAL,RADAR DOS POCOES,JULIANA CAL (EVEREST),GVG PITUFO 642-5 (PALADINO),ARAUCANIA 301-6 BENFEITOR
1003-4R,RENATO DE TOLEDO,GYR PURO,WALTER HABIB,MACHO,ROJO Y BLANCO,10/23/24,209-4,625-39,LA GIRO DE TOLEDO,ANTONELO RADAR  T.E,RADAR DOS POCOES,CTELCA JABATANA GURI FIV,GVG CELESTE 711-5 (PODEROSO),SN DE CANAAN 702-6
1110-3S,SAMSON DE TOLEDO,GYR PURO,WALTER HABIB,MACHO,ROJO Y BLANCO,11/28/23,962-8,207-6,CAMILA DE TOLEDO,RANCHO LR SEÑOR SANSAO,CA SANSAO,HDV CAMILA TABU TATI T.E,CARTAGO 500-0,ABUELA DESCONOCIDA
1203-3S,SATURNO DE TOLEDO,GYR PURO,WALTER HABIB,MACHO,ROJO Y BLANCO,12/5/23,401-6,207-6,CANELA DE TOLEDO,RANCHO LR SEÑOR SANSAO,CA SANSAO,HDV CAMILA TABU TATI T.E,GVG CELESTE 711-5 (PODEROSO),JOSEFINA DE CANAAN 02-2
1205-39,ELEONOR DE CANAAN,GYR PURO,WALTER HABIB,HEMBRA,ROJO,12/10/23,965-8,219-4,SN DE CANAAN,GC 219-4 EMBU,EMBU DOS POCOES,GC 782-4 METEORO,CARTAGO 500-0,ARAUCANIA 301-6 BENFEITOR
1207-39,ESTRELLA DE CANAAN,GYR PURO,WALTER HABIB,HEMBRA,ROJO,12/24/23,304-05,219-4,SN DE CANAAN,GC 219-4 EMBU,EMBU DOS POCOES,GC 782-4 METEORO,VIRGILIO DE TOLEDO 301-67,SN DE CANAAN 605-8
1151-49,ELEONORA DE CANAAN,GYR PURO,WALTER HABIB,HEMBRA,ROJO,1/30/24,920-09,219-4,TREBOL DE CANAAN,GC 219-4 EMBU,EMBU DOS POCOES,GC 782-4 METEORO,GC 219-4 EMBU,TOPACIO DE CANAAN (PALADINO X SEMOLA)
02-3S,SANTA DE CANAAN ,SENEPOL PURO,WALTER HABIB,HEMBRA,ROJO,12/14/22,292-69,244-19,EL ROMERO,EL GUAMO,ABUELO DESCONOCIDO,ABUELA DESCONOCIDA,ABUELO DESCONOCIDO,ABUELA DESCONOCIDA
06-3S,SELENA DE CANAAN,SENEPOL PURO,WALTER HABIB,HEMBRA,ROJO,1/4/23,086-38,244-19,EL ROMERO,EL GUAMO,ABUELO DESCONOCIDO,ABUELA DESCONOCIDA,ABUELO DESCONOCIDO,ABUELA DESCONOCIDA
12-3S,SAMIRA DE CANAAN,SENEPOL PURO,WALTER HABIB,HEMBRA,ROJO,4/3/23,122-58,244-19,EL ROMERO,EL GUAMO,ABUELO DESCONOCIDO,ABUELA DESCONOCIDA,ABUELO DESCONOCIDO,ABUELA DESCONOCIDA
14-3S,SAHAGUN DE CANAAN,SENEPOL PURO,WALTER HABIB,HEMBRA,ROJO,5/6/23,088-38,244-19,EL ROMERO,EL GUAMO,ABUELO DESCONOCIDO,ABUELA DESCONOCIDA,ABUELO DESCONOCIDO,ABUELA DESCONOCIDA
16-4S,SAMOA DE CANAAN,SENEPOL PURO,WALTER HABIB,HEMBRA,ROJO  ,2/7/24,319-69,244-19,EL ROMERO,EL GUAMO,ABUELO DESCONOCIDO,ABUELA DESCONOCIDA,ABUELO DESCONOCIDO,ABUELA DESCONOCIDA
18-4S,SINALOA DE CANAAN,SENEPOL PURO,WALTER HABIB,HEMBRA,ROJO ,3/2/24,292-69,244-19,EL ROMERO,EL GUAMO,ABUELO DESCONOCIDO,ABUELA DESCONOCIDA,ABUELO DESCONOCIDO,ABUELA DESCONOCIDA
20-4S,SANDIA DE CANAAN,SENEPOL PURO,WALTER HABIB,HEMBRA,ROJO  ,3/7/24,121-58,244-19,EL ROMERO,EL GUAMO,ABUELO DESCONOCIDO,ABUELA DESCONOCIDA,ABUELO DESCONOCIDO,ABUELA DESCONOCIDA
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
